language,emoji
viml,:memo:
ruby,:memo:
python,:memo:
coffeescript,:memo:
coffeescript,:memo:
css,:memo:
shell,:memo:
emacs lisp,:memo:
emacs lisp,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
ruby,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
ruby,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
ruby,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
swift,:memo:
javascript,:memo:
coffeescript,:memo:
erlang,:memo:
erlang,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
shell,:memo:
css,:memo:
c#,:memo:
coffeescript,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
shell,:memo:
php,:memo:
coffeescript,:memo:
javascript,:memo:
javascript,:memo:
javascript,:memo:
coffeescript,:memo:
javascript,:memo:
ruby,:memo:
coffeescript,:memo:
javascript,:memo:
viml,:art:
viml,:bug:
python,:checkered_flag:
javascript,:memo:
javascript,:green_heart:
typescript,:rose:
typescript,:memo:
typescript,:memo:
javascript,:star:
javascript,:memo:
javascript,:tada:
elm,:tada:
javascript,:white_check_mark:
python,:lipstick:
css,:trollface:
python,:oops:
haxe,:pear:
objective-c,:poop:
ruby,:poop:
ruby,:poop:
javascript,:poop:
css,:poop:
python,:poop:
ruby,:poop:
ruby,:poop:
javascript,:poop:
php,:pray:
clojure,:pray:
html,:pray:
clojure,:pray:
javascript,:pray:
haskell,:pray:
php,:pray:
ruby,:pray:
ruby,:bomb:
c,:rage:
javascript,:rage:
javascript,:rage:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
typescript,:rose:
javascript,:rose:
typescript,:rose:
typescript,:memo:
typescript,:heart:
html,:sake:
shell,:ship:
javascript,:package:
html,:shit:
javascript,:shit:
javascript,:shit:
python,:sigh:
html,:sigh:
javascript,:star:
javascript,:star:
javascript,:star:
html,:star:
javascript,:star:
javascript,:star:
javascript,:star:
javascript,:star:
javascript,:star:
go,:taco:
c++,:tada:
ruby,:tada:
ruby,:tada:
javascript,:tada:
c++,:tada:
html,:tada:
python,:tada:
php,:tada:
javascript,:tada:
python,:tada:
groff,:tada:
python,:tada:
javascript,:tada:
javascript,:tada:
java,:tada:
css,:tada:
swift,:tada:
javascript,:tada:
c++,:tada:
c++,:tada:
javascript,:tada:
java,:tada:
javascript,:tada:
css,:tada:
swift,:tada:
javascript,:tada:
javascript,:tada:
php,:tada:
php,:tada:
php,:tada:
python,:tada:
python,:tada:
ruby,:tada:
java,:tada:
powershell,:tada:
php,:tada:
css,:tada:
r,:tada:
go,:tada:
ruby,:tada:
java,:tada:
php,:tada:
javascript,:tada:
c#,:tada:
c#,:tada:
batchfile,:tada:
python,:tada:
php,:tada:
python,:tada:
php,:tada:
python,:tada:
html,:tada:
html,:tada:
coffeescript,:tada:
coffeescript,:tada:
html,:tada:
javascript,:tada:
c,:tada:
javascript,:tada:
javascript,:tada:
javascript,:tada:
javascript,:tada:
python,:tada:
php,:tada:
javascript,:tada:
javascript,:tada:
python,:tada:
python,:tada:
python,:tada:
python,:tada:
html,:tada:
c,:tada:
coffeescript,:tada:
java,:tada:
haxe,:tada:
ruby,:tada:
php,:tada:
python,:tada:
php,:tada:
javascript,:tada:
c,:tada:
javascript,:tada:
ruby,:tada:
java,:tada:
javascript,:tada:
javascript,:tada:
javascript,:tada:
ruby,:tada:
c#,:tada:
c#,:tada:
crystal,:tada:
javascript,:tada:
batchfile,:tada:
kicad,:tada:
css,:tada:
c#,:tada:
java,:tada:
javascript,:tada:
java,:tada:
c#,:tada:
shell,:tada:
javascript,:tada:
javascript,:sob:
python,:tada:
javascript,:tada:
hack,:tada:
css,:balloon:
shell,:sparkles:
javascript,:tada:
java,:confetti_ball:
javascript,:tent:
ruby,:test:
ruby,:test:
ruby,:test:
ruby,:test:
ruby,:test:
ruby,:test:
haxe,:todo:
python,:type:
ruby,:wave:
ruby,:wave:
ruby,:bug:
javascript,:wave:
javascript,:wave:
javascript,:wave:
java,:weed:
python,:wp:
ruby,:wink:
javascript,:wink:
javascript,:wink:
go,:wink:
python,:wink:
python,:wink:
javascript,:rocket:
c#,:wolf:
coffeescript,:wolf:
ruby,:wooo:
ruby,:zero:
viml,:FCCat:
javascript,:W:
ruby,:admin:
ruby,:admin:
ruby,:ambulance:
emacs lisp,:alpha:
java,:angry:
perl,:apple:
java,:apple:
javascript,:apple:
python,:beers:
javascript,:beers:
coffeescript,:beers:
emacs lisp,:beers:
ruby,:beers:
css,:beers:
css,:beers:
clojure,:beers:
javascript,:beers:
java,:blush:
python,:blush:
swift,:blush:
swift,:heart:
coffeescript,:books:
shell,:books:
crystal,:books:
javascript,:books:
html,:books:
ruby,:books:
java,:camel:
javascript,:camel:
c#,:sake:
ruby,:chart:
javascript,:cloud:
ruby,:cloud:
css,:cloud:
ruby,:cloud:
coffeescript,:cloud:
css,:cloud:
go,:crown:
ruby,:crown:
java,:cupid:
coffeescript,:dizzy:
c#,:dizzy:
typescript,:green:
javascript,:heart:
javascript,:heart:
ruby,:heart:
python,:heart:
python,:heart:
ruby,:heart:
nix,:heart:
javascript,:heart:
javascript,:heart:
ruby,:heart:
ruby,:heart:
javascript,:heart:
css,:heart:
kotlin,:heart:
javascript,:heart:
css,:heart:
php,:fire:
ruby,:fist:
ruby,:tada:
html,:heart:
php,:poodle:
clojure,:hocho:
css,:hocho:
ruby,:hocho:
javascript,:hocho:
javascript,:hocho:
ruby,:hocho:
ruby,:hocho:
javascript,:hocho:
ruby,:rocket:
ruby,:memo:
